,Name,Club_Position,Height,Weight
1053,Alper Potuk,ataque,177,67
1055,Nemanja Pejčinović,defensa,185,80
1056,Germán Pezzella,defensa,186,81
1057,Mattia Destro,ataque,178,72
1058,Guram Kashia,defensa,185,81
1059,Ezequiel Schelotto,defensa,187,76
1060,Marko Baša,defensa,190,86
1062,Marvin Plattenhardt,defensa,181,76
1065,Diego Reyes,defensa,189,74
1066,Sébastien Corchia,defensa,176,69
1070,Sebastián Blanco,central,168,64
1071,Rubén Pérez,central,178,70
1072,Luuk de Jong,ataque,189,86
1073,Éder,ataque,188,81
1074,Tom Cleverley,central,175,67
1076,Benjamin Hübner,defensa,193,82
1077,Souza,central,188,80
1078,Bastian Oczipka,central,185,87
1080,Jonjo Shelvey,central,184,83
1082,Gustavo Bou,ataque,178,80
1083,Mirko Valdifiori,central,185,71
1086,Lautaro Acosta,ataque,169,67
1087,Daryl Janmaat,central,185,80
1088,Lewis Holtby,ataque,176,72
1089,Juanfran,defensa,179,72
1092,Mauricio Isla,defensa,176,75
1093,Dayro Moreno,ataque,177,73
1096,Cheikhou Kouyaté,central,193,78
1098,Ivan Radovanovic,central,187,80
1100,Leroy Fer,central,188,79
1102,Luca Rossettini,defensa,187,82
1103,Benjamin Moukandjo,ataque,180,74
1104,Kyriakos Papadopoulos,defensa,185,87
1106,Nicolai Müller,central,173,66
1108,Yuri,defensa,177,77
1109,Aurélien Chedjou,defensa,184,86
1110,Henri Saivet,ataque,175,73
1113,Roberto Rosales,defensa,174,70
1114,Carlos Sánchez,defensa,182,82
1115,Jose Holebas,central,185,81
1120,Marcelo,defensa,191,90
1121,Charles Kaboré,central,182,78
1124,Kamil Grosicki,central,180,78
1125,Sebastian Prödl,defensa,196,97
1127,Alessandro Matri,ataque,183,80
1128,Vadis Odjidja-Ofoe,ataque,183,79
1133,Óscar Trejo,ataque,180,79
1136,Perparim Hetemaj,central,175,76
1137,Eljero Elia,ataque,179,77
1138,Jonatan Maidana,defensa,185,86
1143,Darron Gibson,central,180,80
1146,Ron Vlaar,defensa,189,88
1150,Fernando Gago,central,178,70
1153,Cyril Théréau,ataque,189,78
1157,Younès Kaboul,defensa,191,87
1159,Glenn Whelan,central,180,80
1160,Guillaume Gillet,central,186,79
1162,Mauro Boselli,ataque,185,75
1163,Valon Behrami,central,185,78
1165,Jérémy Ménez,ataque,181,78
1167,Alexandre Song,central,185,74
1172,Mauro Zárate,ataque,176,76
1173,Steven Davis,central,173,72
1175,Paul Verhaegh,defensa,178,74
1178,Iván Ramis,defensa,188,82
1181,Matías Delgado,ataque,182,79
1184,Christian Fuchs,defensa,186,80
1185,Nicolás Burdisso,defensa,182,81
1186,Esteban Cambiasso,central,177,78
1187,Glen Johnson,defensa,182,70
1189,Wes Morgan,defensa,185,93
1190,Jimmy Briand,ataque,183,80
1193,Jaime Valdés,central,175,74
1194,Jelle Van Damme,defensa,191,90
1195,Emmanuel Adebayor,ataque,191,82
1196,Tranquillo Barnetta,central,178,70
1201,Eliseu,defensa,175,75
1203,Emre Belözoğlu,central,170,72
1205,Issa Diop,defensa,194,92
1206,Amadou Diawara,central,184,74
1207,Ronaldo Cabrais,ataque,177,75
1208,David Seijalbo,central,176,76
1209,Vieirundinho,defensa,189,84
1210,Welington Dano,defensa,178,69
1214,Rosberto Dourado,central,175,70
1215,Everton Andrão,central,177,75
1216,Eltildo Correia,defensa,188,78
1217,Juiano Mestres,defensa,181,82
